id,platform,topic,post_text,ground_truth_sentiment,sentiment_score,reference_translation
43,Instagram,YCP,"बिजली कटौती तो अब सिर्फ रात में होती है। दिन में तो पूरा 8 घंटे मिलती है। क्या बात है!",Negative,-0.83,"Power cuts now happen only at night. During the day we get a full 8 hours. What a thing!"
44,Facebook,TDP,"रैली में भीड़ तो बहुत थी, बस भाषण में कुछ नया नहीं था। वही पुरानी बातें। वाह!",Negative,-0.79,"There was a huge crowd at the rally, just nothing new in the speech. Same old things. Wow!"
45,X,YCP,"ప్రభుత్వం చాలా బాగా పని చేస్తోంది. ప్రతి సంవత్సరం కొత్త హామీలు ఇస్తూనే ఉంది. 👏",Negative,-0.89,"The government is working very well. Every year it keeps giving new promises. 👏"
46,Facebook,TDP,"రోడ్లు ఎంత బాగున్నాయో చూడండి. ఒకే చోట మూడు రంధ్రాలు. సూపర్ ఇన్‌ఫ్రాస్ట్రక్చర్!",Negative,-0.85,"See how good the roads are. Three holes in one place. Super infrastructure!"
47,X,YCP,"విద్యుత్ కోతలు తగ్గాయి అంటున్నారు. రోజుకు 10 గంటలు మాత్రమే. ఏమి పురోగతి! 😂",Negative,-0.88,"They say power cuts have reduced. Only 10 hours a day. What progress! 😂"
48,Instagram,TDP,"పెన్షన్ సకాలంలో వస్తోంది. కేవలం మూడు నెలల ఆలస్యం. సమర్థవంతమైన పరిపాలన!",Negative,-0.82,"Pension is coming on time. Only three months delay. Efficient administration!"
49,X,YCP,"Ee welfare scheme chala useful undi. Especially election time lo. Perfect timing! 🙌",Negative,-0.87,"This welfare scheme is very useful. Especially during election time. Perfect timing! 🙌"
50,Facebook,TDP,"Infrastructure development lo peak level reach ayyindi. Potholes kuda selfies isthunnayi ippudu. 😂",Negative,-0.84,"Infrastructure development has reached peak level. Even potholes are giving selfies now. 😂"
51,X,JSP,"Another public meeting, another round of promises. Continuous improvement, no doubt. 🙄",Negative,-0.81,"Another public meeting, another round of promises. Continuous improvement, no doubt. 🙄"
52,Instagram,YCP,"Hospital services improved so much that patients now wait only 6 hours instead of 8. Progress!",Negative,-0.8,"Hospital services improved so much that patients now wait only 6 hours instead of 8. Progress!"
53,Facebook,TDP,"Employment opportunities everywhere! Just not in this state. Great vision for youth. 👏",Negative,-0.86,"Employment opportunities everywhere! Just not in this state. Great vision for youth. 👏"
54,X,YCP,"Inflation control is masterclass. Prices go up only once a week now. Amazing management!",Negative,-0.89,"Inflation control is masterclass. Prices go up only once a week now. Amazing management!"
55,Facebook,BJP,"सड़क परियोजना इतनी तेज चल रही है कि अगले चुनाव तक पूरी हो जाएगी। शानदार गति!",Negative,-0.83,"The road project is moving so fast that it will be completed by the next election. Brilliant speed!"
56,X,INC,"महंगाई पर नियंत्रण तो कमाल का है। रोटी का दाम सिर्फ दोगुना हुआ है। क्या बात!",Negative,-0.87,"Control over inflation is amazing. The price of bread has only doubled. What a thing!"
57,Instagram,YCP,"पानी की समस्या तो पूरी तरह हल हो गई। अब सिर्फ गर्मी में कटौती होती है। वाह!",Negative,-0.85,"The water problem has been completely solved. Now cuts happen only in summer. Wow!"
58,Facebook,TDP,"शिक्षा व्यवस्था इतनी सुधरी कि स्कूल खुलने का इंतजार ही करना पड़ता है। बेहतरीन!",Negative,-0.8,"The education system has improved so much that one only has to wait for schools to open. Excellent!"
59,X,YCP,"రైతుల కోసం ఎన్నో పథకాలు. అమలు కాకపోయినా హామీలు మాత్రం సూపర్. 👏",Negative,-0.88,"So many schemes for farmers. Even if not implemented, the promises are super. 👏"
60,Facebook,TDP,"అమరావతి పనులు మళ్లీ మొదలయ్యాయి. ఇది ఎన్నోవ సారి అని లెక్క పెట్టడం మానేశాను. 😂",Negative,-0.84,"Amaravati works have started again. I have stopped counting how many times this is. 😂"
61,X,YCP,"కొత్త బస్ టెర్మినల్ ప్రాజెక్ట్ చాలా బాగా నడుస్తోంది. రెండేళ్లుగా నిలిచి ఉంది కదా!",Negative,-0.86,"The new bus terminal project is going very well. It has been standing still for two years after all!"
62,Instagram,TDP,"ఉపాధి అవకాశాలు పెరిగాయి. ఇంట్లో కూర్చుని వెయిట్ చేస్తే చాలు. గొప్ప విజన్!",Negative,-0.83,"Employment opportunities have increased. Just sitting at home and waiting is enough. Great vision!"
63,X,YCP,"Fee reimbursement process is so transparent that students get it after the semester ends. Perfect system! 🙏",Negative,-0.85,"Fee reimbursement process is so transparent that students get it after the semester ends. Perfect system! 🙏"
64,Facebook,TDP,"Housing list released with zero complaints. Because no one got a house. Flawless execution!",Negative,-0.9,"Housing list released with zero complaints. Because no one got a house. Flawless execution!"
65,X,JSP,"Rally was a huge success. Crowd came for free food, stayed for free food. Democracy at work. 😂",Negative,-0.78,"Rally was a huge success. Crowd came for free food, stayed for free food. Democracy at work. 😂"
66,Instagram,YCP,"Corruption free administration is the goal. And we are very close — only a few thousand crores left!",Negative,-0.92,"Corruption free administration is the goal. And we are very close — only a few thousand crores left!"
67,Facebook,TDP,"Youth unemployment is our top priority. That is why we keep talking about it every election. Consistency!",Negative,-0.87,"Youth unemployment is our top priority. That is why we keep talking about it every election. Consistency!"
68,X,YCP,"School condition has improved tremendously. Now the roof leaks only during heavy rain. Quality upgrade!",Negative,-0.81,"School condition has improved tremendously. Now the roof leaks only during heavy rain. Quality upgrade!"
69,Facebook,BJP,"नई योजनाओं की घोषणा रोज हो रही है। अमल की जरूरत ही नहीं पड़ती। शानदार व्यवस्था!",Negative,-0.86,"New schemes are being announced every day. There is no need for implementation at all. Brilliant system!"
70,X,INC,"जनता की समस्याएं सुन ली गईं। अब बस हल करने की जरूरत नहीं। सुनना ही काफी है। वाह!",Negative,-0.84,"The public's problems have been heard. Now there is no need to solve them. Listening is enough. Wow!"
71,Instagram,YCP,"పబ్లిక్ మీటింగ్ చాలా సక్సెస్. ప్రశ్నలు అడిగే వాళ్లు లేకపోవడం గొప్ప విషయం. 👏",Negative,-0.82,"Public meeting was a big success. The absence of people asking questions is a great thing. 👏"
72,Facebook,TDP,"గ్రామాల్లో తాగునీరు సమస్య పూర్తిగా పరిష్కారం. ఇప్పుడు కేవలం వేసవిలోనే కష్టం. సూపర్!",Negative,-0.85,"Drinking water problem in villages is completely solved. Now difficulty only in summer. Super!"
73,X,YCP,"Manifesto lo old promises recycle chesaru. Environment friendly approach. Green politics! 😂",Negative,-0.8,"They recycled old promises in the manifesto. Environment friendly approach. Green politics! 😂"
74,Facebook,TDP,"Customer care response is lightning fast. They reply after three months without fail. Reliable service!",Negative,-0.88,"Customer care response is lightning fast. They reply after three months without fail. Reliable service!"
75,X,YCP,"వోలంటీర్లు ఫ్లడ్ రిలీఫ్ లో చాలా బాగా పని చేశారు. ప్రభుత్వం మాత్రం హామీలు ఇచ్చింది. బ్యాలెన్స్!",Negative,-0.79,"Volunteers did a great job in flood relief. The government only gave promises. Balance!"
76,Instagram,TDP,"Fuel prices controlled perfectly. Increased only twice this month. Common man is thrilled. 🙄",Negative,-0.87,"Fuel prices controlled perfectly. Increased only twice this month. Common man is thrilled. 🙄"
